S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,PAT Ann Rs.Cr.
563.,Team Lease Serv.,2493.15,37.55,4262.48,0.00,24.37,-14.49,2027.27,11.55,14.82,113.52
564.,MAS FINANC SER,777.45,20.91,4249.70,0.47,56.82,23.49,280.93,46.26,11.46,203.26
565.,Rajratan Global,836.45,42.42,4246.74,0.24,20.27,-45.26,219.43,-11.37,27.04,100.12
566.,Man Infra,114.00,16.37,4232.25,0.79,91.53,118.36,680.27,157.42,33.59,258.57
567.,Privi Speci.,1080.45,187.83,4220.53,0.19,-11.91,-153.72,405.31,6.93,5.48,22.47
568.,Infibeam Avenues,15.75,30.95,4217.51,0.16,38.43,36.08,652.67,76.64,6.01,136.27
569.,Kirl.Pneumatic,652.50,39.70,4217.41,0.84,32.24,-40.74,359.58,-9.74,19.53,106.24
570.,JP Power Ven.,6.15,73.87,4214.88,0.00,-43.99,-1746.26,1379.88,-1.87,5.16,57.06
571.,Railtel Corpn.,130.75,22.02,4196.27,1.84,76.04,10.12,703.63,51.15,16.34,190.56
572.,Harsha Engg Intl,460.65,32.67,4193.95,0.22,36.80,7.82,247.74,-10.26,17.80,128.39
573.,Gravita India,606.95,20.84,4190.26,0.49,63.99,54.35,748.93,12.39,31.11,201.10
574.,Shriram Pistons,1890.25,14.17,4163.26,0.53,91.38,81.42,701.01,19.37,25.20,293.88
575.,IRB InvIT Fund,71.20,11.18,4133.16,,193.22,475.69,534.63,-19.79,8.66,369.58
576.,Marksans Pharma,91.20,15.58,4132.85,0.55,82.71,191.46,485.98,16.25,22.46,265.32
577.,Sunteck Realty,281.80,2927.50,4127.77,0.53,-27.94,-548.26,48.87,-68.52,2.56,1.41
578.,Polyplex Corpn,1312.85,11.83,4121.36,7.92,20.27,-95.90,1667.07,-11.60,17.46,348.35
579.,Volt.Transform.,4052.80,20.51,4100.27,0.86,76.57,47.65,439.86,13.60,25.50,199.94
580.,Indo Count Inds.,206.95,14.81,4098.73,0.97,94.72,11.24,809.88,17.32,15.10,276.78
581.,Tatva Chintan,1843.25,83.64,4085.58,0.11,16.95,17.30,124.51,26.37,8.88,48.85
582.,Greenpanel Inds.,332.60,16.12,4078.59,0.45,68.93,-14.47,441.41,-6.10,27.17,253.01
583.,Prudent Corp.,982.55,34.87,4068.41,0.10,41.23,81.55,176.97,36.62,51.44,116.69
584.,Ahluwalia Contr.,607.10,20.97,4066.81,0.05,72.16,70.43,863.05,18.09,24.82,193.98
585.,Jamna Auto Inds.,101.95,24.15,4066.09,1.47,52.49,-7.65,633.89,1.28,27.43,168.37
586.,South Ind.Bank,19.30,5.21,4038.99,0.00,333.89,22.74,1972.96,20.64,5.42,775.09
587.,Neogen Chemicals,1613.80,80.41,4024.71,0.17,14.33,-8.55,203.92,30.05,13.16,50.05
588.,Techno Elec.Engg,364.00,43.24,4004.00,0.55,56.78,-97.50,312.97,2.54,7.93,92.59
589.,Bharat Rasayan,9586.25,29.70,3983.34,0.02,32.61,-49.49,305.88,-31.23,20.34,134.14
590.,Hindware Home In,544.80,68.43,3938.71,0.09,22.75,-39.02,767.85,11.99,14.80,57.56
591.,Heidelberg Cem.,171.95,39.29,3896.61,4.07,34.97,-62.64,602.04,-2.90,10.67,99.17
592.,Hikal,313.45,49.30,3864.86,0.51,36.00,73.83,545.29,8.55,8.47,78.39
593.,TD Power Systems,247.10,40.25,3858.04,0.28,35.35,39.21,249.85,9.98,21.50,95.86
594.,Sula Vineyards,457.50,43.43,3855.36,1.15,16.56,36.30,110.50,13.87,19.92,88.77
595.,Rallis India,197.10,41.64,3832.98,1.52,-69.13,-389.24,522.62,2.97,7.77,92.04
596.,DCB Bank,122.40,8.19,3815.58,1.02,142.21,25.36,1179.28,28.19,6.71,466.13
597.,AGI Greenpac,577.30,15.01,3734.98,0.87,108.79,151.81,680.32,57.54,14.76,248.79
598.,NOCIL,221.15,24.71,3685.37,1.36,28.32,-58.91,392.72,-15.13,13.50,149.15
599.,Dhanuka Agritech,799.95,15.61,3646.04,1.75,65.30,20.04,371.23,16.63,29.31,233.50
600.,Nilkamal Ltd,2441.70,27.55,3643.02,0.82,48.24,141.78,828.89,11.70,13.33,132.24
601.,Neuland Labs.,2830.75,22.21,3631.82,0.35,84.54,288.15,407.07,59.09,20.77,163.52
602.,Globus Spirits,1259.90,29.70,3628.86,0.48,35.84,-26.22,540.96,12.85,18.51,122.20
603.,Shanthi Gears,471.40,53.94,3616.39,1.06,19.47,59.33,123.40,19.09,32.08,67.05
604.,Anand Rathi Wea.,865.95,21.47,3609.99,1.39,43.19,26.92,137.16,25.96,47.91,168.18
605.,Gateway Distri,72.20,15.30,3607.43,2.77,66.13,-21.98,367.65,3.53,12.76,235.83
606.,Force Motors,2733.85,114.58,3603.21,0.37,146.62,191.12,1490.25,69.06,4.69,31.45
607.,Nirlon,399.40,22.79,3599.39,6.51,49.71,34.21,148.12,8.12,22.37,157.92
608.,Thomas Cook (I),76.40,518.79,3593.75,0.52,-10.23,84.61,1313.22,151.55,5.17,6.93
609.,Choice Intl.,360.95,59.80,3591.89,0.00,30.26,97.91,135.93,47.59,15.84,60.07
610.,PG Electroplast,1578.75,46.35,3590.49,0.00,40.17,46.29,828.23,61.21,17.28,77.47
611.,Avalon Tech,549.90,68.39,3590.44,0.00,22.71,113.04,271.80,29.58,16.74,52.50
612.,L G Balakrishnan,1142.60,15.14,3586.90,1.40,54.53,-18.17,523.02,-6.42,24.27,236.90
613.,Technocraf.Inds.,1558.70,13.58,3579.04,0.00,50.02,-29.82,480.49,-13.25,19.91,263.51
614.,Electrost.Cast.,59.85,11.27,3558.71,1.34,89.49,-20.81,1872.37,18.73,9.93,315.80
615.,Shivalik Bimetal,617.20,48.68,3555.33,0.11,18.90,42.43,110.13,23.30,37.71,73.03
616.,Tasty Bite Eat.,13612.75,115.62,3493.03,0.01,9.13,95.92,109.62,9.05,13.71,30.21
617.,Tinplate Co.,333.60,25.91,3491.79,1.20,56.56,-50.57,1032.87,-15.81,15.78,134.79
618.,JTEKT India,142.75,41.74,3489.96,0.28,26.18,45.67,530.18,12.80,16.65,83.60
619.,Astra Microwave,367.20,49.93,3486.38,0.38,13.52,24.04,258.44,7.94,17.04,69.83
620.,Arvind Ltd,133.05,9.57,3479.22,0.00,97.30,-13.17,1880.76,-14.40,12.25,363.40
621.,Dodla Dairy,584.00,28.96,3474.38,0.00,22.53,-44.34,724.28,22.82,16.21,119.99
622.,Prime Focus,115.85,19.70,3470.13,0.00,190.47,3370.61,1435.49,30.66,17.23,176.18
623.,Bannari Amm.Sug.,2759.00,24.13,3459.70,0.45,49.92,105.60,656.44,42.12,11.93,143.39
624.,Natl.Fertilizer,70.15,7.55,3441.42,2.18,-268.87,-658.17,6267.84,41.09,14.92,456.10
625.,Tips Industries,267.20,44.85,3431.56,0.07,18.33,15.07,52.02,52.46,87.39,76.52
626.,PTC India,115.20,7.65,3410.04,6.77,129.34,-21.41,3624.95,16.88,9.82,445.60
627.,Hawkins Cookers,6392.05,35.68,3381.39,1.56,22.80,6.69,253.85,-6.61,45.83,94.78
628.,Dreamfolks Servi,646.50,46.56,3377.96,0.00,25.32,181.65,237.74,139.73,79.39,72.55
629.,IKIO Lighting,437.10,66.84,3377.94,0.00,,,,,40.58,50.54
630.,Ethos Ltd,1444.95,56.42,3373.85,0.00,13.07,67.78,207.57,30.80,16.40,59.80
631.,Aarti Pharma,370.95,17.38,3361.77,0.00,42.86,-12.30,485.06,5.38,16.12,193.48
632.,Sudarshan Chem.,485.55,75.08,3361.33,1.03,32.57,-27.07,691.18,10.21,6.11,44.77
633.,Automotive Axles,2223.15,20.73,3359.18,0.67,50.81,30.82,693.01,25.48,30.87,162.03
634.,eMudhra,429.85,54.98,3355.94,0.29,15.80,46.43,76.81,69.22,24.04,61.04
635.,Mold-Tek Pack.,1011.20,41.70,3353.62,0.79,23.00,32.79,184.70,3.81,19.58,80.43
636.,Fineotex Chem,300.95,37.74,3332.97,0.13,26.00,56.30,137.69,13.43,37.30,88.32
637.,Sandur Manganese,1232.40,12.29,3328.20,0.41,173.97,-26.13,607.71,-15.15,18.85,270.91
638.,Kewal Kir.Cloth.,539.60,27.88,3325.29,2.04,31.59,27.48,199.48,17.64,27.86,119.29
639.,Zen Technologies,417.90,79.97,3322.72,0.02,23.38,479.81,95.88,245.14,23.89,41.55
640.,MOIL,162.45,13.30,3305.62,3.69,80.95,-36.19,428.06,-8.51,15.12,248.53
641.,West Coast Paper,500.40,3.47,3305.14,2.00,320.95,130.91,1357.48,27.18,61.54,951.57
642.,IFB Industries,812.70,191.01,3293.06,0.00,-7.55,73.53,985.04,11.39,6.36,17.24
643.,Datamatics Glob.,558.20,17.75,3290.55,0.67,58.46,26.32,416.28,32.87,24.77,185.34
644.,Kirloskar Indus.,3317.65,14.62,3279.35,0.30,93.09,199.25,1574.79,51.81,20.03,224.31
645.,Saksoft,308.40,39.76,3259.48,0.23,24.99,42.39,182.06,30.89,28.42,81.98
646.,Genus Power,126.45,93.12,3257.29,0.20,12.47,13.57,202.32,11.75,6.13,34.98
647.,Electronics Mart,83.70,26.22,3220.35,0.00,36.11,2.18,1327.81,7.89,12.02,122.80
648.,Wonderla Holiday,568.40,21.60,3215.63,0.00,35.05,311.87,98.60,69.59,22.67,148.90
649.,Steel Str. Wheel,204.95,16.55,3207.74,0.37,47.30,-3.25,1004.92,-5.49,21.40,193.80
650.,Tarsons Products,602.25,39.80,3204.35,0.00,22.82,-22.54,82.05,-3.40,18.95,80.51
651.,Greaves Cotton,134.75,40.46,3126.20,0.15,27.22,64.26,826.94,33.20,10.45,77.27
652.,Advanced Enzyme,279.40,29.28,3124.36,1.43,32.11,43.31,138.71,5.30,12.28,106.69
653.,Ganesh Housing,372.60,31.05,3107.00,0.64,39.42,56.68,179.30,15.40,24.80,100.08
654.,Va Tech Wabag,489.85,10.67,3046.40,0.00,-111.95,183.12,926.86,3.92,19.73,285.55
655.,Welspun Enterp,201.80,12.76,3029.69,0.50,142.41,112.46,845.08,77.46,10.14,237.49
656.,JTL Industries,358.25,33.23,3021.56,0.00,36.65,93.40,471.11,13.14,37.64,90.92
657.,Somany Ceramics,710.05,44.14,3015.88,0.42,24.40,41.64,679.22,10.12,10.44,68.32
658.,Indoco Remedies,326.95,21.18,3012.86,0.46,25.81,-36.19,428.16,4.65,17.27,142.25
659.,Dalmia Bharat,371.95,12.13,3010.94,1.08,124.16,99.73,1149.04,35.80,12.42,248.32
660.,Uflex,414.20,5.08,2990.94,0.72,0.83,-87.89,3380.12,-12.61,10.36,588.70
661.,Max Ventures,202.50,175.47,2979.47,0.00,3.11,-14.25,23.31,-19.29,2.27,16.98
662.,Jai Corp,166.65,167.45,2973.86,0.30,-39.07,-60.31,124.79,-25.52,3.87,17.76
663.,KPI Green Energy,815.30,26.78,2946.01,0.19,31.78,224.40,182.40,143.56,24.66,110.01
664.,Gokaldas Exports,483.10,17.41,2929.59,0.00,47.19,-22.53,523.01,-10.59,23.08,168.30
665.,Bombay Super Hyb,277.95,173.82,2916.73,0.00,1.91,38.41,35.78,20.59,22.17,16.78
666.,Sunflag Iron,160.75,12.94,2897.03,0.00,39.71,-2.72,836.97,28.97,11.84,223.93
667.,Nucleus Soft.,1073.40,25.68,2873.85,0.93,67.65,269.87,206.20,34.74,27.11,111.90
668.,Jindal Poly Film,654.70,8.65,2866.70,0.76,-384.98,-215.37,734.03,-57.35,12.45,331.56
669.,Landmark Cars,711.90,31.77,2858.79,0.00,24.26,35.69,853.80,17.50,20.05,89.99
670.,Subros,438.00,59.63,2857.33,0.23,18.28,9.79,748.11,9.84,8.91,47.92
671.,Kaveri Seed Co.,509.85,10.49,2851.17,0.78,-15.89,-31.61,73.68,10.66,21.61,271.73
672.,Maithan Alloys,978.10,4.74,2847.40,0.61,98.08,-59.46,534.73,-36.12,28.76,600.91
673.,Divgi Torq,923.40,55.20,2824.03,0.36,13.45,15.85,73.34,25.78,15.46,51.16
674.,Gabriel India,196.05,21.28,2816.14,0.79,33.76,25.41,736.98,7.69,21.97,132.35
675.,ITD Cem,163.20,22.57,2803.57,0.46,37.66,129.91,1631.41,38.98,19.04,124.24
676.,WPIL,2870.25,14.80,2803.40,0.35,79.36,46.25,574.13,35.87,31.67,189.48
677.,Bajaj Consumer,193.80,20.13,2802.45,4.13,40.46,12.95,249.42,14.29,21.11,139.22
678.,Sagar Cements,214.10,152.75,2798.45,0.33,97.98,951.26,621.54,23.88,6.82,18.32
679.,Pricol Ltd,229.30,23.82,2794.74,0.00,29.80,126.79,523.49,26.35,20.19,117.35
680.,I T D C,324.60,46.95,2784.07,0.00,14.00,710.98,156.47,74.50,27.15,59.30
681.,Navneet Educat.,122.45,17.32,2769.98,1.22,22.94,-24.17,409.02,26.99,19.06,159.93
682.,Goodyear India,1197.35,22.48,2762.29,2.21,33.61,93.27,652.59,9.09,25.13,122.86
683.,Apollo Pipes,702.35,115.53,2762.22,0.14,15.03,-3.65,251.94,1.81,8.80,23.91
684.,Mahindra Logis.,382.80,111.96,2757.54,0.65,-1.03,-113.04,1272.51,16.90,7.22,24.63
685.,Apcotex Industri,531.40,25.56,2755.04,1.04,23.21,-24.89,256.10,-7.70,28.00,107.80
686.,Thyrocare Tech.,517.95,48.12,2741.51,3.48,9.93,-51.20,124.82,1.21,15.37,56.97
687.,Orient Cement,133.35,22.24,2731.92,1.12,67.38,-8.00,876.03,8.98,11.96,122.82
688.,Hind.Oil Explor.,206.10,13.23,2725.53,0.00,106.65,1501.35,175.09,314.81,20.42,206.07
689.,Best Agrolife,1151.60,14.17,2722.93,0.17,-8.41,-122.04,253.91,-17.92,34.43,192.15
690.,Stylam Industrie,1587.15,28.03,2689.91,0.16,26.79,62.76,236.83,31.80,32.24,95.95
691.,Dish TV India,14.60,12.00,2688.28,0.00,-1720.62,-69.41,504.82,-21.45,32.62,224.07
692.,Time Technoplast,118.85,12.27,2687.75,0.84,65.22,14.54,1192.38,14.77,13.36,219.04
693.,Ramky Infra,385.60,34.29,2668.27,0.00,1077.80,135.43,576.43,6.70,16.76,77.82
694.,Magellanic Cloud,226.95,35.80,2652.57,0.06,18.01,1032.70,114.69,74.99,32.91,74.10
695.,Tilaknagar Inds.,142.50,36.60,2641.09,0.07,59.10,225.92,357.45,48.28,15.55,72.16
696.,Patel Engineerin,33.75,14.19,2610.96,0.00,84.81,64.39,1298.03,16.77,13.97,184.05
697.,Astec Lifescienc,1327.85,101.81,2603.34,0.11,-4.97,-111.54,126.97,-53.32,7.75,25.57
698.,Hathway Cable,14.70,36.58,2602.05,0.00,-14.61,-129.87,459.59,2.41,2.38,71.13
699.,M B Agro Prod.,592.60,20.90,2596.39,0.04,24.27,46.65,233.83,60.30,37.76,124.20
700.,Swaraj Engines,2131.40,19.38,2588.85,4.32,34.96,59.93,359.79,48.46,55.41,133.61
701.,Kolte Patil Dev.,338.65,25.12,2573.89,0.59,120.80,367.79,796.93,111.91,13.44,102.45
702.,Barbeque-Nation,660.30,177.55,2573.77,0.00,-11.60,-2166.67,280.23,11.64,8.99,14.50
703.,PSP Projects,713.35,19.31,2568.06,0.70,46.31,-13.94,727.41,30.98,24.53,133.02
704.,Dynamatic Tech.,3778.85,59.98,2566.38,0.26,17.56,16.91,367.88,14.64,10.20,42.79
705.,Camlin Fine,162.90,57.38,2559.05,0.00,3.48,-38.41,426.71,9.63,9.86,44.60
706.,Grauer & Weil,111.95,22.36,2537.97,0.71,21.70,37.82,327.18,25.48,23.58,113.49
707.,Siyaram Silk,541.20,10.07,2536.61,2.03,88.33,8.85,694.78,10.63,28.52,251.82
708.,Texmaco Rail,78.55,97.96,2528.29,0.13,18.28,235.41,835.27,87.00,6.18,25.81
709.,Eveready Inds.,346.20,125.00,2516.18,0.00,-21.87,43.05,286.17,18.62,11.97,20.13
710.,India Pesticides,218.20,17.39,2512.87,0.34,30.17,-2.11,198.18,11.75,27.85,144.48
711.,Tata Metaliks,795.45,31.22,2511.83,1.01,55.56,83.00,925.99,14.61,7.91,80.46
712.,D B Corp,141.10,14.85,2511.62,4.25,41.03,67.33,530.96,12.50,11.75,169.09
713.,Uniparts India,554.15,12.21,2501.09,2.57,45.31,0.00,328.24,-5.28,31.61,204.89
714.,Kingfa Science,2051.45,30.52,2484.40,0.00,36.62,318.51,365.59,20.10,24.73,81.41
715.,DCX Systems,255.65,34.55,2472.74,0.00,41.09,26.74,510.55,36.50,13.12,71.57
716.,VST Till. Tract.,2843.55,26.60,2456.69,0.70,40.15,81.67,322.61,47.74,15.89,92.37
717.,Kovai Medical,2243.45,21.20,2454.33,0.22,30.56,62.38,266.98,21.13,16.35,115.77
718.,IOL Chemicals,417.70,17.52,2452.13,0.96,65.27,135.21,587.21,2.57,13.64,139.98
719.,MSTC,347.00,10.10,2442.88,3.72,76.95,-19.83,196.53,0.36,37.95,241.96
720.,Sadhana Nitro,123.90,767.00,2423.71,0.12,1.77,176.56,48.16,20.94,4.80,3.16
721.,SG Finserve,586.00,131.37,2418.60,0.00,14.05,2136.23,27.54,10916.00,377.00,18.41
722.,Lumax Auto Tech.,353.10,24.45,2406.65,1.27,23.74,9.58,493.33,18.32,16.89,98.45
723.,Cigniti Tech.,851.25,14.21,2392.44,0.35,49.24,117.88,424.97,23.51,38.15,168.32
724.,Paras Defence,613.25,66.56,2391.68,0.00,8.86,-14.97,58.05,-4.00,12.91,35.93
725.,Venky's (India),1696.55,33.91,2389.99,0.77,25.23,-56.02,1042.47,-15.20,7.75,70.48
726.,Ganesha Ecosphe.,1080.70,33.96,2359.10,0.19,15.38,-65.14,301.55,5.01,10.79,69.46
727.,Fiem Industries,1789.00,16.84,2354.29,1.68,38.03,12.82,436.25,-10.88,26.62,139.83
728.,Waaree Renewab.,1127.00,42.40,2345.83,0.04,12.27,81.51,61.49,-19.79,84.06,55.33
729.,Hil Ltd,3099.70,24.06,2336.42,1.45,4.62,-90.88,863.27,-9.08,8.64,97.11
730.,Lloyds Steels,23.60,59.65,2333.33,0.21,6.42,413.60,173.85,852.60,29.20,39.12
731.,Balmer Lawrie,136.35,13.91,2331.64,4.77,43.29,-6.60,608.05,5.68,10.38,167.63
732.,Venus Pipes,1147.25,52.67,2328.47,0.04,13.43,66.42,176.28,59.99,22.79,44.21
733.,Sharda Motor,777.80,11.26,2312.53,1.05,60.55,31.20,688.16,11.38,39.08,205.43
734.,ISMT,76.35,25.07,2294.33,0.00,8.39,-94.31,650.40,12.04,11.21,91.53
735.,Mayur Uniquoters,519.70,21.25,2284.22,0.38,27.38,40.77,198.80,35.33,18.08,107.48
736.,Paisalo Digital,50.75,23.53,2278.79,0.20,20.66,57.03,117.99,18.46,11.39,96.86
737.,J Kumar Infra,300.80,8.29,2276.02,1.00,73.87,-0.18,1134.21,1.77,17.36,274.39
738.,Meghmani Organi.,89.40,10.18,2273.57,1.57,54.15,-61.90,574.08,-29.28,16.13,223.35
739.,Confidence Petro,80.05,25.30,2273.52,0.12,26.19,80.40,672.86,75.43,17.64,89.88
740.,Gulf Oil Lubric.,463.45,9.78,2272.14,1.08,62.17,-1.92,792.05,23.97,23.48,232.30
741.,Gufic BioScience,233.65,28.42,2265.11,0.04,18.11,-10.61,173.04,6.69,22.64,79.70
742.,Cartrade Tech,482.50,69.34,2260.48,0.00,11.63,136.71,42.79,17.30,2.38,32.60
743.,Honda India,2229.10,23.45,2260.31,0.74,5.81,6.16,313.30,-3.20,18.83,96.37
744.,Black Box,134.25,32.53,2254.12,0.00,23.10,107.58,1681.92,16.62,23.36,69.29
745.,TVS Srichakra,2940.80,27.46,2252.65,0.55,22.32,125.00,682.85,1.87,8.95,82.03
746.,Ashoka Buildcon,79.85,5.38,2241.57,0.00,34.21,-76.88,2448.42,22.93,40.65,416.85
747.,M M Forgings,926.30,17.81,2236.16,0.65,30.29,229.96,372.89,18.43,16.27,125.58
748.,Jayaswal Neco,23.00,8.03,2233.30,0.00,5.20,-98.88,1469.29,-7.71,9.66,278.06
749.,Aurionpro Sol.,975.50,22.77,2224.16,0.26,26.60,32.21,190.66,38.69,25.68,97.66
750.,Imagica. Enter.,45.75,6.08,2204.21,0.00,-159.88,1190.35,53.89,62.61,34.81,362.39
751.,Greenply Industr,178.50,26.36,2200.85,0.28,11.07,-61.79,469.16,4.59,11.63,83.48
752.,Vindhya Telelink,1853.30,11.85,2196.16,0.54,101.31,80.68,1374.93,284.24,8.10,185.31
753.,Puravankara,92.35,32.94,2189.99,5.41,26.75,232.90,388.99,31.62,8.65,66.48
754.,Ugro Capital,236.25,54.88,2183.16,0.00,14.04,130.54,208.97,88.18,10.93,39.78
755.,Bhansali Engg.,131.50,16.06,2181.66,1.52,14.07,-80.76,327.90,-26.43,19.14,135.84
756.,Fino Payments,260.25,33.28,2165.65,0.00,22.08,25.31,29.40,131.31,9.14,65.08
757.,Amrutanjan Healt,738.25,54.18,2157.95,0.62,12.70,-13.66,100.32,-5.85,19.27,39.83
758.,Dollar Industrie,380.10,37.02,2155.78,0.79,3.68,-90.08,406.35,8.94,9.65,58.24
759.,Banco Products,301.35,9.15,2155.21,6.64,51.03,26.97,609.30,20.26,25.71,235.58
760.,Rupa & Co,269.30,39.86,2141.60,1.11,18.89,-61.69,406.79,-10.90,7.59,53.73
761.,Vishnu Chemicals,356.90,15.61,2131.77,0.11,35.63,24.71,335.93,0.66,30.49,136.57
762.,Sundaram Fin.Hol,95.95,8.97,2130.38,3.13,98.62,29.42,34.88,-4.46,1.43,237.56
763.,Pilani Invest.,1922.30,8.65,2128.42,0.78,75.08,37.99,54.13,2.15,2.26,245.93
764.,Paushak,6890.65,40.28,2123.78,0.17,14.35,8.55,56.46,7.30,21.48,52.73
765.,DDev Plastiks,204.20,20.30,2113.07,0.11,48.29,167.53,667.23,7.24,32.39,104.10
766.,Agro Tech Foods.,856.75,135.14,2087.90,0.35,5.02,3.93,201.98,-5.03,4.55,15.45
767.,CARE Ratings,702.30,24.97,2085.87,2.42,20.15,-14.41,77.51,17.65,18.83,83.53
768.,Thangamayil Jew.,1519.05,26.14,2084.14,0.79,31.03,288.85,771.54,26.68,16.82,79.74
769.,Sanghvi Movers,480.95,18.59,2082.51,0.21,33.93,82.42,126.83,16.02,17.20,112.04
770.,Yasho Industries,1822.95,32.33,2078.02,0.03,13.97,3.25,147.51,-19.64,22.34,64.27
771.,Aptech,501.10,30.67,2075.93,0.86,33.35,30.53,178.46,175.66,34.82,67.69
772.,Federal-Mogul Go,372.20,20.53,2070.55,0.00,34.22,53.39,409.70,15.23,15.48,100.87
773.,Huhtamaki India,273.10,34.08,2062.50,0.73,35.49,44.21,661.53,-9.19,7.37,46.60
774.,Wendt India,10310.85,54.32,2062.17,0.78,12.79,71.22,58.93,23.41,28.82,37.96
775.,ADF Foods,936.20,36.83,2057.09,0.53,16.09,43.53,123.11,13.82,18.85,55.86
776.,Vadilal Inds.,2860.40,21.36,2056.63,0.04,28.78,32.69,256.25,20.38,25.00,96.30
777.,Indostar Capital,151.00,9.13,2054.80,0.00,75.96,110.08,285.17,-16.28,9.14,225.15
778.,Garware Hi Tech,882.35,12.34,2049.91,1.13,43.07,-4.54,349.01,7.88,12.11,166.14
779.,Thirumalai Chem.,200.20,22.84,2049.81,0.75,-12.84,-114.26,430.93,-26.06,10.86,89.75
780.,Orchid Pharma,499.90,147.00,2040.41,0.00,59.14,671.73,209.90,17.84,4.99,13.88
781.,Butterfly Gan Ap,1135.50,39.34,2030.27,0.26,1.56,112.21,186.80,-1.60,30.26,51.61
782.,Som Distilleries,261.90,33.56,2023.45,0.10,15.87,148.36,252.57,73.23,15.65,60.30
783.,Savita Oil Tech,290.05,9.11,2004.26,1.72,37.65,-37.08,927.46,16.76,24.04,219.96
784.,Novartis India,810.55,19.86,2001.31,1.23,25.02,3.52,76.13,-22.57,15.10,100.77
785.,Vidhi Specialty,400.25,52.80,1999.05,0.20,8.86,-35.98,89.47,-38.30,17.58,37.86
786.,Supriya Lifesci.,247.85,22.20,1994.77,0.24,38.23,-17.27,142.27,-21.51,18.54,89.86
787.,Lumax Industries,2120.25,18.56,1982.43,1.27,20.75,-30.04,608.10,10.69,19.29,106.84
788.,Accelya Solution,1323.95,17.76,1976.66,4.68,36.29,40.31,119.46,28.74,37.70,76.08
789.,Wheels India,813.30,30.03,1957.17,0.86,24.83,-10.88,1169.24,6.17,11.97,65.17
790.,Repco Home Fin,312.15,6.60,1952.85,0.80,82.10,95.34,340.31,6.92,9.04,296.08
791.,Heritage Foods,210.25,33.65,1951.04,1.19,17.93,41.85,817.60,17.49,10.93,57.98
792.,Aditya Vision,1619.25,30.37,1947.71,0.37,6.78,-17.42,306.27,17.58,26.46,64.14
793.,Ashiana Housing,189.65,69.62,1941.11,0.47,10.38,64.50,110.59,48.10,4.03,27.88
794.,Tanfac Inds.,1930.20,34.30,1925.37,0.47,22.38,217.00,115.53,72.18,48.02,56.13
795.,Cosmo First,705.35,7.88,1922.72,3.31,31.82,-70.59,715.05,-12.89,16.95,243.99
796.,Sandhar Tech,316.60,25.86,1905.64,0.71,24.72,33.81,764.97,11.91,8.97,73.68
797.,Sirca Paints,345.70,41.09,1894.74,0.29,9.49,53.31,68.27,26.19,25.33,46.11
798.,India Glycols,611.90,18.26,1894.44,1.23,39.84,-46.79,619.34,-3.60,8.09,103.75
799.,NACL Industries,95.25,19.96,1893.97,0.58,33.53,64.52,598.70,27.14,15.17,94.87
800.,Carysil,704.90,36.06,1890.25,0.34,12.50,-24.02,145.57,4.78,17.73,52.42
801.,Arman Financial,2224.35,20.14,1889.27,0.00,36.20,122.36,149.31,96.95,18.72,93.81
802.,TARC Ltd,63.85,92.63,1884.19,0.00,1.53,100.63,134.99,1079.98,6.03,20.34
803.,Styrenix Perfor.,1070.35,10.29,1882.75,9.81,42.44,-57.16,615.29,-1.38,30.42,183.01
804.,Sh.Global Trad.,14.71,37.07,1871.30,0.68,33.73,-79.69,241.54,1150.85,7.14,50.49
805.,IIFL Securities,61.05,7.47,1865.77,4.91,86.40,9.46,401.90,15.90,22.97,249.81
806.,Alembic,72.15,9.24,1852.68,2.49,48.25,6368.13,37.12,103.51,4.28,200.50
807.,Panama Petrochem,304.65,7.91,1842.94,2.63,50.81,-9.61,510.40,0.42,34.97,232.97
808.,AXISCADES Tech.,482.05,49.21,1841.40,0.00,16.04,39.19,225.99,17.27,22.98,37.42
809.,Suryoday Small,173.45,23.70,1841.32,0.00,38.91,180.86,329.44,39.25,6.80,77.70
810.,Krsnaa Diagnost.,585.05,28.92,1836.92,0.43,11.81,-38.90,115.86,7.44,11.96,63.51
811.,Shalby,169.35,27.03,1829.15,0.59,13.90,37.22,198.98,22.40,10.39,67.68
812.,Manorama Indust.,1533.65,61.39,1828.08,0.00,10.00,46.63,101.74,31.04,13.18,29.78
813.,Hariom Pipe,661.35,39.52,1826.36,0.00,17.25,76.56,251.50,102.54,17.01,46.21
814.,Optiemus Infra.,210.50,43.15,1807.29,0.71,17.22,508.48,340.50,75.06,13.49,41.88
815.,Mukand,124.65,10.49,1801.14,1.20,125.39,133.02,1314.21,-1.29,13.93,171.78
816.,Thejo Engg.,1682.65,55.54,1800.60,0.12,14.13,,243.82,,24.80,32.42
817.,MPS,1051.00,20.84,1797.82,1.90,24.83,33.85,77.20,18.68,33.81,86.28
818.,Prataap Snacks,765.30,88.37,1794.86,0.07,21.61,813.20,386.63,6.96,1.12,20.31
819.,Dhampur Sugar,269.80,11.37,1791.14,2.22,60.69,103.23,671.44,43.86,15.00,157.50
820.,TTK Healthcare,1263.80,2.79,1785.79,0.79,16.94,383.89,180.14,13.53,10.06,639.84
