S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,PAT Ann Rs.Cr.
410.,Metropolis Healt,1493.10,53.52,7646.29,0.54,33.49,-16.58,282.55,-7.63,17.01,142.88
411.,Amber Enterp.,2256.20,48.36,7601.98,0.00,108.09,81.72,3002.62,55.04,10.75,157.20
412.,KSB,2157.80,41.00,7511.30,0.70,40.90,1.24,489.60,17.21,23.15,181.73
413.,Balaji Amines,2316.55,23.07,7505.85,0.43,55.21,-56.39,471.39,-39.59,39.06,325.41
414.,Godawari Power,528.55,9.26,7449.65,0.76,169.54,-43.28,1316.59,-8.44,28.07,804.15
415.,Cochin Shipyard,565.80,25.81,7442.56,2.96,47.34,-100.31,576.97,-52.37,8.50,288.39
416.,Lemon Tree Hotel,93.70,64.80,7423.35,0.00,59.02,278.59,252.69,111.39,11.87,114.56
417.,Prince Pipes,671.25,61.12,7421.41,0.52,94.12,6.68,764.41,-15.18,12.37,121.42
418.,Ujjivan Small,37.90,6.74,7408.51,3.30,309.50,144.63,1184.83,44.80,12.84,1099.92
419.,Granules India,296.90,14.27,7371.81,0.51,119.61,7.76,1195.50,16.07,19.39,516.60
420.,Latent View,351.65,46.36,7205.36,0.00,34.21,-3.82,141.06,20.10,16.83,155.43
421.,Mahindra Life.,465.60,195.77,7201.30,0.49,0.54,-98.85,255.37,57.87,2.35,36.78
422.,Chemplast Sanmar,454.60,33.89,7187.66,0.00,46.08,-80.11,1146.83,-36.53,14.86,212.11
423.,NBCC,39.60,20.01,7128.00,1.26,96.38,-8.91,2227.35,23.72,26.20,356.28
424.,Ramkrishna Forg.,444.70,28.72,7126.93,0.45,68.45,-18.44,891.64,24.06,18.48,248.11
425.,Deepak Fertiliz.,562.70,5.87,7103.40,1.78,257.37,-8.87,2795.54,38.91,26.27,1210.10
426.,Safari Inds.,2970.10,56.31,7043.38,0.12,38.09,269.09,302.71,57.21,37.54,125.09
427.,Easy Trip Plann.,40.50,47.95,7040.20,0.15,37.81,58.07,111.47,88.42,54.57,146.82
428.,JM Financial,73.45,11.74,7014.71,2.45,32.36,-81.90,845.60,4.44,9.42,597.29
429.,Allcargo Logist.,284.15,11.56,6981.44,1.14,51.90,-78.79,3395.10,-37.87,19.71,603.80
430.,Glenmark Life,569.15,14.93,6973.63,3.69,146.36,47.99,621.32,20.87,29.86,466.96
431.,Praj Industries,377.60,28.93,6937.01,0.72,88.12,52.84,1003.98,20.82,31.44,239.79
432.,T N Merc. Bank,437.85,6.74,6933.42,0.00,253.05,11.50,1070.08,8.47,6.72,1029.26
433.,Home First Finan,784.00,30.26,6907.67,0.33,64.03,6.38,226.84,45.34,10.34,228.29
434.,Laxmi Organic,259.90,55.41,6902.35,0.19,24.27,-65.32,733.19,-16.68,11.31,124.57
435.,EPL Ltd,214.65,30.01,6830.37,2.00,85.10,73.10,969.30,10.12,12.30,227.61
436.,Welspun Corp,260.95,34.27,6824.61,1.92,240.08,-0.09,4070.15,102.39,7.91,199.17
437.,KNR Construct.,242.00,17.04,6805.88,0.10,141.73,1.85,1245.33,13.00,21.44,399.49
438.,Indigo Paints,1428.90,51.54,6799.89,0.24,48.68,40.73,325.47,12.86,21.69,131.94
439.,Delta Corp,253.95,26.00,6795.59,0.49,51.30,-3.40,227.16,4.05,15.76,261.37
440.,Jubilant Ingrev.,426.50,22.09,6793.34,1.17,52.31,-23.74,1144.98,-11.64,15.96,307.50
441.,Minda Corp,282.50,23.74,6753.99,0.42,121.94,60.74,1074.55,13.38,16.39,284.50
442.,BEML Ltd,1620.80,42.75,6749.01,0.62,157.69,18.19,1387.94,-17.56,10.81,157.89
443.,Jupiter Wagons,173.80,53.71,6733.84,0.00,40.78,191.49,711.70,96.27,24.39,125.38
444.,Quess Corp,449.90,36.20,6668.84,1.78,29.98,-59.85,4440.21,17.09,9.74,184.22
445.,GMM Pfaudler,1480.50,37.29,6655.92,0.27,36.47,127.43,865.95,23.82,24.72,178.49
446.,India Infr Trust,100.00,12.16,6640.00,,133.07,,1378.37,,8.29,546.08
447.,Borosil Renew.,505.95,74.58,6603.70,0.00,11.69,-74.80,187.54,4.74,11.60,88.54
448.,Archean Chemical,536.25,17.20,6598.72,0.47,136.82,67.02,382.37,2.62,45.84,383.65
449.,Garden Reach Sh.,575.30,28.89,6590.18,1.01,55.30,17.16,601.17,10.68,20.81,228.12
450.,Keystone Realtor,577.80,82.77,6579.84,0.00,74.04,85.05,344.38,47.30,5.53,79.50
451.,Elecon Engg.Co,584.35,27.46,6556.40,0.34,67.95,46.76,424.54,28.06,24.90,238.73
452.,Kirl. Ferrous,470.30,18.64,6536.45,1.17,81.85,25.42,990.98,10.04,22.38,350.70
453.,G S F C,163.90,5.05,6531.05,1.53,240.49,-17.71,2410.19,17.73,13.39,1293.08
454.,C.E. Info System,1205.50,59.48,6468.81,0.17,27.64,17.17,65.65,18.65,28.96,108.75
455.,Engineers India,114.95,18.66,6460.68,2.61,190.18,140.34,880.10,7.62,23.81,346.27
456.,Tega Inds.,971.40,35.02,6445.64,0.21,77.26,58.06,396.41,36.67,21.26,184.03
457.,TV18 Broadcast,37.35,55.11,6403.14,0.00,19.66,-86.31,1405.90,-6.04,3.37,116.18
458.,Mah. Seamless,476.35,8.35,6383.05,0.52,372.69,-5.79,1632.86,14.31,20.42,764.75
459.,Garware Tech.,3105.90,36.76,6329.26,0.23,59.67,10.73,370.49,3.98,21.37,172.20
460.,KFin Technolog.,370.75,32.18,6299.49,0.00,57.02,12.11,183.13,1.26,29.32,195.74
461.,VRL Logistics,713.05,37.92,6299.33,1.12,193.18,16.60,698.19,17.56,17.81,166.14
462.,Brightcom Group,31.20,4.59,6295.92,0.96,229.15,2.73,1367.92,10.28,30.91,1370.99
463.,Jindal Worldwide,313.90,54.39,6294.34,0.03,26.53,-23.15,549.46,-24.58,15.70,115.72
464.,HEG,1630.35,11.82,6292.42,2.45,99.72,-22.86,616.88,-8.35,13.02,532.36
465.,Symphony,897.40,54.12,6277.94,1.00,16.00,-74.60,308.00,-19.79,14.68,116.00
466.,Just Dial,738.70,38.52,6276.00,0.00,83.79,278.46,232.53,39.52,5.38,162.92
467.,Mah. Scooters,5479.80,32.07,6263.41,2.92,0.82,-47.77,9.24,-10.90,0.92,195.29
